Months,Precipitation average
1,0.09
2,0.09
3,0.06
4,0.09
5,0.16
6,0.26
7,0.07
8,0.24
9,0.09
10,0.08
11,0.05
12,0.03
13,0.05
14,0.05
15,0.04
16,0.1
17,0.15
18,0.24
19,0.09
20,0.07
21,0.15
22,0.07
23,0.15
24,0.16
25,0.03
26,0.04
27,0.11
28,0.09
29,0.18
30,0.1
31,0.2
32,0.14
33,0.06
34,0.12
35,0.06
36,0.06
37,0.09
38,0.05
39,0.13
40,0.21
41,0.11
42,0.11
43,0.25
45,0.08
46,0.01
47,0.28
48,0.06
49,0.02
50,0.05
51,0.17
52,0.06
53,0.09
54,0.26
55,0.25
56,0.04
57,0.21
58,0.12
59,0.15
60,0.11
61,0.11
62,0.06
63,0.1
64,0.07
65,0.2
66,0.27
67,0.1
68,0.13
69,0.12
70,0.25
71,0.22
72,0.06
73,0.05
74,0.09
75,0.03
76,0.11
77,0.13
78,0.31
79,0.15
80,0.08
81,0.03
82,0.11
83,0.12
84,0.06
85,0.08
86,0.06
87,0.04
88,0.04
89,0.02
90,0.06
91,0.23
92,0.06
93,0.15
94,0.04
95,0.19
96,0.02
97,0.07
98,0.03
99,0.09
100,0.12
101,0.18
102,0.11
103,0.09
104,0.15
105,0.07
106,0.07
107,0.05
108,0.03
109,0.07
110,0.08
111,0.14
112,0.12
113,0.07
114,0.02
115,0.08
116,0.25
117,0.04
118,0.11
119,0.07
120,0.03
121,0.1

