time(month),time(year),oil price,corn price
1,14,94.62,4.42
2,14,100.82,4.35
3,14,100.8,4.52
4,14,102.07,4.71
5,14,102.18,4.71
6,14,105.79,4.5
7,14,103.59,4.06
8,14,96.53,3.63
9,14,93.21,3.49
10,14,84.4,3.57
11,14,75.79,3.6
12,14,59.29,3.79
1,15,47.22,3.82
2,15,50.58,3.79
3,15,47.82,3.81
4,15,54.45,3.75
5,15,59.27,3.64
6,15,59.82,3.59
7,15,50.9,3.8
8,15,42.87,3.68
9,15,45.48,3.68
10,15,46.22,3.67
11,15,42.44,3.59
12,15,37.19,3.65
1,16,31.68,3.66
2,16,30.32,3.58
3,16,37.55,3.56
4,16,40.75,3.56
5,16,46.71,3.68
6,16,48.76,3.82
7,16,44.65,3.6
8,16,44.72,3.21
9,16,45.18,3.22
10,16,49.77,3.29
11,16,45.66,3.24
12,16,51.97,3.32
1,17,52.5,3.4
2,17,53.47,3.44
3,17,49.33,3.49
4,17,51.06,3.43
5,17,48.48,3.45
6,17,45.18,3.43
7,17,46.63,3.49
8,17,48.04,3.27
9,17,49.82,3.27
10,17,51.58,3.26
11,17,56.64,3.15
12,17,57.88,3.23
1,18,63.7,3.29
2,18,62.23,3.38
3,18,62.73,3.51
4,18,66.25,3.58
5,18,69.98,3.68
6,18,67.87,3.58
7,18,70.98,3.47
8,18,68.06,3.36
9,18,70.23,3.4
10,18,70.75,3.42
11,18,56.96,3.41
12,18,49.52,3.54
1,19,51.38,3.56
2,19,54.95,3.6
3,19,58.15,3.61
4,19,63.86,3.53
5,19,60.83,3.63
6,19,54.66,3.98
7,19,57.35,3.56
8,19,54.8,3.93
9,19,56.95,3.8
10,19,53.96,3.85
11,19,57.03,3.68
12,19,59.88,3.71
1,20,57.52,3.79
2,20,50.54,3.78
3,20,29.21,3.68
4,20,16.55,3.29
5,20,28.56,3.2
6,20,38.31,3.16
7,20,40.71,3.79
8,20,42.34,3.12
9,20,39.63,3.41
10,20,39.4,3.61
11,20,40.94,3.79
12,20,47.02,3.97
1,21,52,4.24
2,21,59.04,4.75
3,21,62.33,4.89
4,21,61.72,5.31
5,21,65.17,5.91
6,21,71.38,6.0
7,21,72.49,6.12
8,21,67.73,6.32
9,21,71.65,5.47
10,21,81.48,5.02
11,21,79.15,5.26
12,21,71.71,5.47
1,22,83.22,5.58
2,22,91.64,6.09
3,22,108.5,6.56
4,22,101.78,7.07
5,22,109.55,7.26
6,22,114.84,7.38
7,22,101.62,7.25
8,22,93.67,7.24
9,22,84.26,7.09
10,22,87.55,6.49
11,22,84.37,6.49
12,22,76.44,6.58
1,23,78.12,6.63
2,23,76.83,6.8
3,23,73.28,6.67
4,23,79.45,6.7
5,23,71.58,6.54
6,23,70.25,6.49
7,23,76.07,6.22
8,23,81.39,5.73
9,23,89.43,5.21
10,23,85.64,4.93
11,23,77.69,4.66
12,23,71.9,4.8
1,24,74.15,4.5
2,24,78,4.5
3,24,80,4.5
4,24,80,4.5
5,24,79.5,4.5
6,24,78.5,4.5
7,24,77.5,4.5
8,24,77.5,4.5
9,24,77.5,4.5
10,24,76.5,4.5
11,24,76.5,4.5
12,24,76.5,4.5
1,25,76.5,4.5
2,25,76.5,4.5
3,25,76.5,4.5
4,25,75.5,4.5
5,25,75.5,4.5
6,25,75.5,4.5
7,25,74.5,4.5
8,25,74.5,4.5
9,25,74.5,4.5
10,25,73.5,4.5
11,25,73.5,4.5
12,25,73.5,4.5
